substrate,met_id,o2_bound,o2_percent,o2_flux,growth_rate,biomass_c,co2_flux,organic_c_flux,c_ex_fluxes,cue,bge,gge
Proline,cpd00129,40.0,141.53692866624033,-28.261,0.811,34.838,25.1,0.066,"{'EX_cpd00047_e0': 0.035, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.582,0.581,0.581
Proline,cpd00129,30.0,106.15269649968025,-28.261,0.811,34.838,25.1,0.066,"{'EX_cpd00047_e0': 0.035, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.582,0.581,0.581
Proline,cpd00129,20.0,70.76846433312016,-20.0,0.702,30.159,27.417,2.427,"{'EX_cpd00029_e0': 2.4, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.543,0.524,0.503
Proline,cpd00129,10.0,35.38423216656008,-10.0,0.473,20.315,30.219,9.468,"{'EX_cpd00029_e0': 9.45, 'EX_cpd15380_e0': 0.01, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.496,0.402,0.339
Proline,cpd00129,1.0,3.538423216656008,-1.0,0.018,0.759,5.832,3.489,"{'EX_cpd00029_e0': 3.489, 'EX_cpd15380_e0': 0.0, 'EX_cpd01042_e0': 0.0, 'EX_cpd00204_e0': 0.0}",0.421,0.115,0.075
Glycerol-3-phosphate,cpd00080,2.3436793519435675,10.0,-2.344,0.523,22.471,14.832,22.7,"{'EX_cpd00029_e0': 22.68, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.753,0.602,0.375
Glycerol-3-phosphate,cpd00080,4.687358703887135,20.0,-4.687,0.577,24.775,14.302,20.927,"{'EX_cpd00029_e0': 20.904, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.762,0.634,0.413
Glycerol-3-phosphate,cpd00080,7.031038055830702,30.0,-7.031,0.63,27.078,13.772,19.153,"{'EX_cpd00029_e0': 19.129, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.77,0.663,0.451
Glycerol-3-phosphate,cpd00080,9.37471740777427,40.0,-9.375,0.684,29.382,13.242,17.38,"{'EX_cpd00029_e0': 17.353, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.779,0.689,0.49
Glycerol-3-phosphate,cpd00080,11.718396759717837,50.0,-11.718,0.738,31.685,12.712,15.606,"{'EX_cpd00029_e0': 15.578, 'EX_cpd15380_e0': 0.016, 'EX_cpd01042_e0': 0.011, 'EX_cpd00204_e0': 0.002}",0.788,0.714,0.528
Glycerol-3-phosphate,cpd00080,14.062076111661405,60.0,-14.062,0.791,33.988,12.183,13.833,"{'EX_cpd00029_e0': 13.802, 'EX_cpd15380_e0': 0.017, 'EX_cpd01042_e0': 0.012, 'EX_cpd00204_e0': 0.002}",0.797,0.736,0.566
Glycerol-3-phosphate,cpd00080,16.405755463604972,70.0,-16.406,0.845,36.292,11.653,12.06,"{'EX_cpd00029_e0': 12.027, 'EX_cpd15380_e0': 0.018, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.806,0.757,0.605
Glycerol-3-phosphate,cpd00080,18.74943481554854,80.0,-18.749,0.898,38.573,11.912,9.52,"{'EX_cpd00029_e0': 9.486, 'EX_cpd15380_e0': 0.019, 'EX_cpd01042_e0': 0.013, 'EX_cpd00204_e0': 0.002}",0.801,0.764,0.643
Glycerol-3-phosphate,cpd00080,21.093114167492107,90.0,-21.093,0.95,40.788,14.437,4.779,"{'EX_cpd00029_e0': 4.743, 'EX_cpd15380_e0': 0.02, 'EX_cpd01042_e0': 0.014, 'EX_cpd00204_e0': 0.002}",0.759,0.739,0.68
Glycerol-3-phosphate,cpd00080,23.436793519435675,100.0,-23.437,1.001,43.004,16.962,0.039,"{'EX_cpd15380_e0': 0.021, 'EX_cpd01042_e0': 0.015, 'EX_cpd00204_e0': 0.002}",0.717,0.717,0.717
Glycerol-3-phosphate,cpd00080,50.0,213.3397640702683,-23.437,1.001,43.004,16.962,0.039,"{'EX_cpd15380_e0': 0.021, 'EX_cpd01042_e0': 0.015, 'EX_cpd00204_e0': 0.002}",0.717,0.717,0.717
