id	name	reason	replaced_by	pr	date	notes
rxn27318_c0	NADPH-thioredoxin reductase [c0]	duplicate	rxn05289_c0	#181	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions
rxn01621_c0	L-Rhamnulose-1-phosphate lactaldehyde-lyase [c0]	unknown		#288	2025-10-16	"fix several issues with GPRs of aldehyde/carboxylate redox reactions and remove rxn01621_c0, cpd00831_c0, & WP_049588490.1"
rxn01644_c0	L-Aspartate-4-semialdehyde hydro-lyase (adding pyruvate and cyclizing) [c0]	duplicate	rxn40037_c0	#186	2025-04-03	"fix: replace rxn01644_c0, rxn02929_c0, and cpd02120_c0 with rxn40037_c0, rxn39452_c0, and cpd21488_c0"
rxn01662_c0	"N6-(L-1,3-Dicarboxypropyl)-L-lysine:NAD+ oxidoreductase [c0]"	unknown		#312	2025-10-29	fix: remove rxn00309_c0 and rxn01662_c0
rxn02021_c0	Hg:NADP+ oxidoreductase [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
rxn02929_c0	"2,3,4,5-Tetrahydrodipicolinate:NADP+ oxidoreductase [c0]"	duplicate	rxn39452_c0	#186	2025-04-03	"fix: replace rxn01644_c0, rxn02929_c0, and cpd02120_c0 with rxn40037_c0, rxn39452_c0, and cpd21488_c0"
rxn02222_c0	Indole-3-acetamide amidohydrolase [c0]	unknown		#293	2025-10-21	"fix: remove rxn02222, cpd00703, and cpd01747"
rxn02305_c0	2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
rxn02200_c0	"2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c0]"	duplicate	rxn02503_c0; rxn02201_c0	#206	2025-04-11	fix: removed rxn02200_c0 for being a less accurate duplicate of rxn02503_c0+rxn02201_c0
rxn03396_c0	R04989 [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn05029_c0	ATP:cobinamide Cobeta-adenosyltransferase [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
rxn05121_c0	R07412 [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn05161_c0	nonpolar-amino-acid-transporting ATPase [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05168_c0	nonpolar-amino-acid-transporting ATPase [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05179_c0	nonpolar-amino-acid-transporting ATPase [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05217_c0	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05297_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLT_GLT [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05315_c0	ZN2t4 [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
rxn05496_c0	TRANS-RXNBWI-115637.ce.maizeexp.L-ALPHA-ALANINE_L-ALPHA-ALANINE [c0]	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn05516_c0	Cadmium-translocating P-type ATPase [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
