id	name	reason	replaced_by	pr	date	notes
cpd01747_c0	Indole-3-acetamide	unknown		#293	2025-10-21	fix: remove rxn02222, cpd00703, and cpd01747
cpd01914_c0	L-Methionine S-oxide [c0]	out_of_scope		#182	2025-04-02	fix: remove duplicate thioredoxin metabolites and reactions
cpd01997_c0	Dimethylbenzimidazole [c0]	orphaned		#146	2025-03-26	fix: remove cpd03422_c0 and cpd01997_c0 from model as they were orphaned by previous changes
cpd02027_c0	S-Methyl-L-methionine	unknown		#316	2025-10-31	fix: remove rxn00196, rxn01032, rxn01033, rxn08703, rxn37372, cpd00225, cpd00340, cpd02027
cpd02120_c0	Dihydrodipicolinate [c0]	id_changed	cpd21488_c0	#186	2025-04-03	fix: replace rxn01644_c0, rxn02929_c0, and cpd02120_c0 with rxn40037_c0, rxn39452_c0, and cpd21488_c0
cpd02654_c0	4-Methyl-5--2-phosphoethyl-thiazole [c0]	dead_end		#144	2025-03-25	fix: add missing thiamine biosynthesis reactions and remove inaccurate/dead-end ones
cpd02967_c0	N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D- glucosaminyldiphosphoundecaprenol	unknown		#315	2025-11-11	fix: remove rxn10192, cpd02967, cpd15561
cpd03422_c0	Cobinamide [c0]	orphaned		#146	2025-03-26	fix: remove cpd03422_c0 and cpd01997_c0 from model as they were orphaned by previous changes
cpd03453_e0	Enterobactin [e0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd03520_c0	Molybdopterin	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd03708_c0	2,4-Dihydroxyhept-2-enedioate	no_genomic_evidence		#315	2025-10-30	fix: remove reactions and metabolites associated with genes with no relevant annotated functions
cpd03726_e0	Fe-enterochlin [e0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd03918_c0	Adenosyl cobinamide [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
cpd04097_c0	Pb	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd04097_e0	Pb [e0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
cpd05262_c0	galacturonate [c0]	unknown		#244	2025-09-15	model file wholesale replaced by a new draft; original reason not recoverable
cpd11312_c0	hemeA	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
cpd11574_c0	Molybdate	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd11574_e0	Molybdate [e0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
cpd11580_c0	Gly-Gln	out_of_scope		#319	2025-11-06	fix: remove unnecessary dipeptide reactions & metabolites
