CleanName,Method,replicateID,timepoint,nM
glycerol_3_phosphate,AN,B,42,5.62972548
glycerol_3_phosphate,AN,A,14,4.308971655
glycerol_3_phosphate,AN,B,14,3.759451663
glycerol_3_phosphate,AN,C,14,1.939456761
glycerol_3_phosphate,AN,B,10,3.767642918
glycerol_3_phosphate,AN,C,10,3.985509101
glycerol_3_phosphate,AN,A,10,4.436761775
glycerol_3_phosphate,AN,C,26,2.961532381
glycerol_3_phosphate,AN,B,26,3.981342369
glycerol_3_phosphate,AN,A,26,3.18760401
glycerol_3_phosphate,AN,B,18,3.601347387
glycerol_3_phosphate,AN,A,18,2.42479674
glycerol_3_phosphate,AN,C,18,3.772480303
glycerol_3_phosphate,AN,A,36,7.399828498
glycerol_3_phosphate,AN,B,36,7.9758528
glycerol_3_phosphate,AN,C,36,5.62423277
glycerol_3_phosphate,AN,A,30,7.841950289
glycerol_3_phosphate,AN,C,30,1.706932846
glycerol_3_phosphate,AN,B,30,2.037740856
glycerol_3_phosphate,AN,B,40,7.536893345
glycerol_3_phosphate,AN,C,40,8.101674496
glycerol_3_phosphate,AN,A,40,6.77483342
glycerol_3_phosphate,AN,B,28,3.803188492
glycerol_3_phosphate,AN,A,28,4.696629397
glycerol_3_phosphate,AN,C,28,4.484754545
cysteate,AN,A,4,0.102477568
cysteate,AN,B,4,0.102477568
cysteate,AN,C,4,0.102477568
cysteate,AN,C,32,2.763193778
cysteate,AN,A,32,5.790411425
cysteate,AN,B,32,5.297954144
cysteate,AN,A,24,8.412109661
cysteate,AN,B,24,4.709367057
cysteate,AN,C,24,3.597724815
cysteate,AN,A,16,0.102477568
cysteate,AN,C,16,5.817221618
cysteate,AN,B,16,1.714866978
cysteate,AN,C,22,3.557154765
cysteate,AN,B,22,4.589885004
cysteate,AN,A,22,4.970757467
cysteate,AN,C,2,0.102477568
cysteate,AN,A,2,2.418524301
cysteate,AN,B,2,4.366294096
cysteate,AN,B,46,2.235897197
cysteate,AN,A,46,3.337936435
cysteate,AN,C,46,2.30868233
cysteate,AN,B,34,0.102477568
cysteate,AN,A,34,0.102477568
cysteate,AN,C,34,0.102477568
cysteate,AN,B,44,3.530654917
cysteate,AN,A,44,3.252705991
cysteate,AN,C,44,3.79292598
cysteate,AN,C,8,0.102477568
cysteate,AN,B,8,0.102477568
cysteate,AN,A,8,0.102477568
cysteate,AN,B,12,3.80874006
cysteate,AN,A,12,1.942249496
cysteate,AN,C,12,1.465086022
cysteate,AN,A,6,0.102477568
cysteate,AN,C,6,5.407788505
cysteate,AN,B,6,2.792177206
cysteate,AN,A,0,1.338587262
cysteate,AN,C,0,3.664261265
cysteate,AN,B,0,0.102477568
cysteate,AN,C,20,4.108691458
cysteate,AN,B,20,0.102477568
cysteate,AN,A,20,5.420508597
cysteate,AN,B,38,5.027170551
cysteate,AN,A,38,5.609713992
cysteate,AN,C,38,9.250685855
cysteate,AN,C,42,3.685944929
cysteate,AN,A,42,4.471552953
cysteate,AN,B,42,3.976530245
cysteate,AN,A,14,1.045135854
cysteate,AN,B,14,4.039713884
cysteate,AN,C,14,2.175693869
cysteate,AN,B,10,1.3454159
cysteate,AN,C,10,3.52420337
cysteate,AN,A,10,2.569577908
cysteate,AN,C,26,1.380173075
cysteate,AN,B,26,4.866946202
cysteate,AN,A,26,4.898018442
cysteate,AN,B,18,3.108520988
cysteate,AN,A,18,5.510515621
cysteate,AN,C,18,2.24592508
cysteate,AN,A,36,2.639044475
cysteate,AN,B,36,4.942009575
cysteate,AN,C,36,4.859417717
cysteate,AN,A,30,1.274694183
cysteate,AN,C,30,1.608977896
cysteate,AN,B,30,0.102477568
cysteate,AN,B,40,4.832239171
cysteate,AN,C,40,4.703465884
cysteate,AN,A,40,6.028418161
cysteate,AN,B,28,5.956318411
cysteate,AN,A,28,2.574255895
cysteate,AN,C,28,6.062909087
n_acetylglutamic_acid,AN,A,4,1.811592434
n_acetylglutamic_acid,AN,B,4,1.903889912
n_acetylglutamic_acid,AN,C,4,1.558500276
n_acetylglutamic_acid,AN,C,32,3.835286481
n_acetylglutamic_acid,AN,A,32,3.401247145
n_acetylglutamic_acid,AN,B,32,4.194213574
n_acetylglutamic_acid,AN,A,24,2.272716048
n_acetylglutamic_acid,AN,B,24,2.686066152
n_acetylglutamic_acid,AN,C,24,2.419107902
n_acetylglutamic_acid,AN,A,16,2.275393316
n_acetylglutamic_acid,AN,C,16,2.292566145
n_acetylglutamic_acid,AN,B,16,2.350202176
n_acetylglutamic_acid,AN,C,22,1.880320479
n_acetylglutamic_acid,AN,B,22,2.650673644
n_acetylglutamic_acid,AN,A,22,2.529357868
n_acetylglutamic_acid,AN,C,2,1.160246332
n_acetylglutamic_acid,AN,A,2,1.032515786
n_acetylglutamic_acid,AN,B,2,1.122656066
n_acetylglutamic_acid,AN,B,46,5.532574827
n_acetylglutamic_acid,AN,A,46,4.945417863
n_acetylglutamic_acid,AN,C,46,4.940983138
n_acetylglutamic_acid,AN,B,34,4.50315521
n_acetylglutamic_acid,AN,A,34,4.238020149
n_acetylglutamic_acid,AN,C,34,4.454601966
n_acetylglutamic_acid,AN,B,44,4.769481903
n_acetylglutamic_acid,AN,A,44,3.612900964
n_acetylglutamic_acid,AN,C,44,4.211200783
n_acetylglutamic_acid,AN,C,8,1.851022452
n_acetylglutamic_acid,AN,B,8,1.91667422
n_acetylglutamic_acid,AN,A,8,1.847048337
n_acetylglutamic_acid,AN,B,12,5.786444694
n_acetylglutamic_acid,AN,A,12,3.305740111
n_acetylglutamic_acid,AN,C,12,4.073576969
n_acetylglutamic_acid,AN,A,6,1.435116302
n_acetylglutamic_acid,AN,C,6,1.5949519
n_acetylglutamic_acid,AN,B,6,1.766485852
n_acetylglutamic_acid,AN,A,0,1.332375198
n_acetylglutamic_acid,AN,C,0,1.709730117
n_acetylglutamic_acid,AN,B,0,1.625638015
n_acetylglutamic_acid,AN,C,20,2.503776568
n_acetylglutamic_acid,AN,B,20,2.422732339
n_acetylglutamic_acid,AN,A,20,2.645281537
n_acetylglutamic_acid,AN,B,38,4.671617608
n_acetylglutamic_acid,AN,A,38,4.222102278
n_acetylglutamic_acid,AN,C,38,4.654373117
n_acetylglutamic_acid,AN,C,42,4.37184306
n_acetylglutamic_acid,AN,A,42,4.121638541
n_acetylglutamic_acid,AN,B,42,4.629624216
n_acetylglutamic_acid,AN,A,14,6.111817564
n_acetylglutamic_acid,AN,B,14,2.491439517
n_acetylglutamic_acid,AN,C,14,1.917415601
n_acetylglutamic_acid,AN,B,10,0.947112524
n_acetylglutamic_acid,AN,C,10,1.301914579
n_acetylglutamic_acid,AN,A,10,2.597155741
n_acetylglutamic_acid,AN,C,26,3.012117993
n_acetylglutamic_acid,AN,B,26,3.240809269
n_acetylglutamic_acid,AN,A,26,2.684854631
n_acetylglutamic_acid,AN,B,18,2.670426513
n_acetylglutamic_acid,AN,A,18,2.421436304
n_acetylglutamic_acid,AN,C,18,1.989179966
n_acetylglutamic_acid,AN,A,36,4.094628837
n_acetylglutamic_acid,AN,B,36,8.796319402
n_acetylglutamic_acid,AN,C,36,4.172554067
n_acetylglutamic_acid,AN,A,30,2.444804293
n_acetylglutamic_acid,AN,C,30,3.511717669
n_acetylglutamic_acid,AN,B,30,3.867358828
n_acetylglutamic_acid,AN,B,40,4.734123082
n_acetylglutamic_acid,AN,C,40,4.897155915
n_acetylglutamic_acid,AN,A,40,4.709902578
n_acetylglutamic_acid,AN,B,28,3.278356755
n_acetylglutamic_acid,AN,A,28,2.698002777
n_acetylglutamic_acid,AN,C,28,3.191918027
2_keto_3_deoxy_6_phosphogluconate,AN,A,4,2.735678634
2_keto_3_deoxy_6_phosphogluconate,AN,B,4,3.861034779
2_keto_3_deoxy_6_phosphogluconate,AN,C,4,1.584697304
2_keto_3_deoxy_6_phosphogluconate,AN,C,32,5.478498579
2_keto_3_deoxy_6_phosphogluconate,AN,A,32,6.29315882
2_keto_3_deoxy_6_phosphogluconate,AN,B,32,4.273782365
2_keto_3_deoxy_6_phosphogluconate,AN,A,24,3.740674357
2_keto_3_deoxy_6_phosphogluconate,AN,B,24,5.26648092
2_keto_3_deoxy_6_phosphogluconate,AN,C,24,5.02074814
2_keto_3_deoxy_6_phosphogluconate,AN,A,16,5.140027388
2_keto_3_deoxy_6_phosphogluconate,AN,C,16,5.783321053
2_keto_3_deoxy_6_phosphogluconate,AN,B,16,7.42600513
2_keto_3_deoxy_6_phosphogluconate,AN,C,22,4.19418149
2_keto_3_deoxy_6_phosphogluconate,AN,B,22,6.475064451
2_keto_3_deoxy_6_phosphogluconate,AN,A,22,5.543437518
2_keto_3_deoxy_6_phosphogluconate,AN,C,2,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,A,2,4.323049032
2_keto_3_deoxy_6_phosphogluconate,AN,B,2,6.373177408
2_keto_3_deoxy_6_phosphogluconate,AN,B,46,7.371933887
2_keto_3_deoxy_6_phosphogluconate,AN,A,46,6.370497907
2_keto_3_deoxy_6_phosphogluconate,AN,C,46,4.354880322
2_keto_3_deoxy_6_phosphogluconate,AN,B,34,9.874111571
2_keto_3_deoxy_6_phosphogluconate,AN,A,34,9.765618994
2_keto_3_deoxy_6_phosphogluconate,AN,C,34,9.067441297
2_keto_3_deoxy_6_phosphogluconate,AN,B,44,4.262312443
2_keto_3_deoxy_6_phosphogluconate,AN,A,44,4.134312252
2_keto_3_deoxy_6_phosphogluconate,AN,C,44,5.562104214
2_keto_3_deoxy_6_phosphogluconate,AN,C,8,5.884583437
2_keto_3_deoxy_6_phosphogluconate,AN,B,8,7.505474446
2_keto_3_deoxy_6_phosphogluconate,AN,A,8,7.158211094
2_keto_3_deoxy_6_phosphogluconate,AN,B,12,8.599592003
2_keto_3_deoxy_6_phosphogluconate,AN,A,12,8.872975796
2_keto_3_deoxy_6_phosphogluconate,AN,C,12,6.753951989
2_keto_3_deoxy_6_phosphogluconate,AN,A,6,4.699633397
2_keto_3_deoxy_6_phosphogluconate,AN,C,6,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,B,6,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,A,0,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,C,0,3.581842703
2_keto_3_deoxy_6_phosphogluconate,AN,B,0,2.713006559
2_keto_3_deoxy_6_phosphogluconate,AN,C,20,3.751576558
2_keto_3_deoxy_6_phosphogluconate,AN,B,20,3.954167952
2_keto_3_deoxy_6_phosphogluconate,AN,A,20,2.834634585
2_keto_3_deoxy_6_phosphogluconate,AN,B,38,12.44991537
2_keto_3_deoxy_6_phosphogluconate,AN,A,38,8.197478259
2_keto_3_deoxy_6_phosphogluconate,AN,C,38,8.978147115
2_keto_3_deoxy_6_phosphogluconate,AN,C,42,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,A,42,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,B,42,0.124522832
2_keto_3_deoxy_6_phosphogluconate,AN,A,14,7.498619972
2_keto_3_deoxy_6_phosphogluconate,AN,B,14,3.571772399
