ids,glutamic acid,alanine,valine,aspartate,isoleucine,leucine,glycine,proline,cocktail,reaction_name,reaction_string
rxn02473_c0,-2.542193690857115e-16,1.377983227557121e-15,3.8088134440930275e-15,-7.248873684814058e-17,9.941724891878076e-18,9.000870037645205e-17,3.8149991049409327e-16,-3.1864280813120925e-16,-4.627197417800797e-16,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate hydro-lyase [c0],D-erythro-imidazol-glycerol-phosphate --> H2O + imidazole acetol-phosphate
rxn02341_c0,-2.9398899198770556e-29,0.0,-2.126204173571666e-12,6.91456112080726e-14,2.878798908266905e-13,1.7288317778934439e-12,-6.472328346588698e-14,2.2517705942336498e-12,-1.6379409907832704e-12,N-[(R)-4'-Phosphopantothenoyl]-L-cysteine carboxy-lyase [c0],H+ + (R)-4'-Phosphopantothenoyl-L-cysteine --> CO2 + Phosphopantetheine
rxn06937_c0,6.26768520064558e-16,-3.394647571563844e-16,-1.6403482388277364e-16,4.522787628875827e-17,1.5854118511885382e-16,8.860776743836735e-17,-2.371491645093579e-16,4.439078413339694e-16,7.042079691124078e-16,L-glutamate:tRNA(Glu) ligase (AMP-forming),ATP + L-Glutamate + tRNA-Glu --> PPi + AMP + H+ + L-Glutamyl-tRNA-Glu
rxn15949_c0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.443662011353162e-29,0.0,carboxyspermidine carboxy-lyase (spermidine-forming) [c0],H+ + Carboxyspermidine --> CO2 + Spermidine
rxn05328_c0,4.247112524572574e-16,-5.845855762131799e-17,2.235562865469019e-16,1.0657705344839824e-16,-9.499962134029505e-16,-7.225772679866842e-17,1.7141078523418474e-16,-8.561978998133108e-31,-4.0074506815595343e-16,"Hexadecanoyl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]",NADH + H+ + (2E)-Hexadecenoyl-ACP --> NAD + Hexadecanoyl-ACP
rxn02504_c0,1.7035015210433658e-14,-2.403927866058396e-16,2.0390102040639903e-16,2.7736507233046907e-16,-9.499962134029505e-16,1.0226043250879651e-16,2.479042942546836e-13,1.420446602761559e-16,1.0782625204689611e-16,"2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase [c0]",Dihydroneopterin <=> Glycolaldehyde + 6-hydroxymethyl dihydropterin
rxn05322_c0,2.9909197334273758e-16,-2.403927866058396e-16,-1.0123809714429567e-30,2.432990322202917e-16,1.0045560608788707e-16,-3.1387486025602577e-16,6.8703570455289194e-18,2.5875035297169815e-16,5.1890798013912354e-15,"Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and enoyl-reducing) [c0]",NADH + H+ + (2E)-Butenoyl-ACP --> NAD + Butyryl-ACP
EX_cpd00007_e0,2.0174413793260663e-16,1.2303742704797465e-13,,-2.534661018191461e-12,,2.0332315997939094e-14,4.8003040832793664e-17,1.9325824538731542e-14,9.076488673602214e-15,Exchange for O2 [e0],O2 [e0] <=> 
rxn00438_c0,-3.678679368018302e-17,1.7688469689211391e-16,-8.323812550379691e-17,1.4452304742117377e-19,-1.833708217708948e-16,2.5555103453340013e-17,5.234810180415895e-16,1.3654010487547456e-17,6.904493888429968e-17,ATP:thiamin-phosphate phosphotransferase [c0],ATP + H+ + Thiamine phosphate --> ADP + TPP
rxn02213_c0,2.0333982854752956e-15,7.968444385221438e-17,2.902044687962917e-16,-3.596538370826955e-16,-1.833708217708948e-16,-2.0841748001061023e-16,4.3598428520189275e-15,3.02413186060377e-17,-8.813337524167607e-16,3-Dehydroquinate hydro-lyase [c0],5-Dehydroquinate --> H2O + 3-Dehydroshikimate
rxn09210_c0,4.160605985742222e-15,-5.0456591317264944e-30,-1.0449328094472045e-29,-5.2690297536351836e-30,0.0,2.137777865981813e-29,-2.4530766284653372e-15,-1.9801744547529545e-30,-2.0411356267133772e-30,Phosphatidylserine syntase (n-C18:0) [c0],"L-Serine + CDP-1,2-dioctadecanoylglycerol --> CMP + 2.0 H+ + phosphatidylserine dioctadecanoyl"
